draw,pearson_r,spearman_rho,cosine_similarity,sign_concordance,projection,frozen_score_log_hr
117,0.6116511694127518,0.5043478260869565,0.8111052092155996,0.875,0.3838790691195132,0.17540008989717285
118,0.40675512252540236,0.2008695652173913,0.361348757441219,0.4583333333333333,0.08850847229141541,0.03962917074912498
119,0.32551744766552315,0.2713043478260869,0.6637180413252045,0.7916666666666666,0.2898902510078961,0.12858356681080832
120,0.46970155432311933,0.3173913043478261,0.732889213431548,0.7916666666666666,0.2543317895760874,0.11250104949476125
121,0.3865990485889436,0.33304347826086955,0.6078675192586318,0.6666666666666666,0.23162314591013264,0.09834809962702917
122,0.4760209424028453,0.33739130434782605,0.7472512884670376,0.7083333333333334,0.28744186752499706,0.12976177276153714
123,0.5886965374656308,0.45217391304347826,0.8039038063160057,0.9166666666666666,0.40007166641555286,0.17885529837881523
124,0.5398282684039393,0.34956521739130436,0.7011668930178164,0.7083333333333334,0.25451837769844915,0.11217080675947926
125,0.5958142627206093,0.5869565217391304,0.7938336541450957,0.7083333333333334,0.32971777264974245,0.1502211271136354
126,0.5838215338021591,0.4313043478260869,0.7535102041174093,0.75,0.283074461670725,0.12633172033655168
127,0.39956371513623157,0.35130434782608694,0.7030151086014085,0.75,0.3542772196071772,0.1546816742780156
128,0.6534483498754596,0.45217391304347826,0.8186660115627511,0.8333333333333334,0.2912854371797396,0.1308923834601194
129,0.5988337702294972,0.5165217391304348,0.8085781035026745,0.8333333333333334,0.3374148901492212,0.15383797416643666
130,0.3897392010878903,0.2782608695652174,0.669942092663885,0.6666666666666666,0.16150803318046905,0.07422875758449583
